date,model,alpha,pinball_loss
2023-07-05,gas_vine,0.01,5.843527418640491e-05
2023-07-06,gas_vine,0.01,7.639195872423989e-06
2023-07-07,gas_vine,0.01,0.00020071848918797917
2023-07-10,gas_vine,0.01,0.00014061770489137178
2023-07-11,gas_vine,0.01,0.00015857452658617641
2023-07-12,gas_vine,0.01,0.00026496989942142784
2023-07-13,gas_vine,0.01,0.00024002330370640715
2023-07-14,gas_vine,0.01,9.514001022353816e-05
2023-07-17,gas_vine,0.01,0.00014487318680815885
2023-07-18,gas_vine,0.01,0.00014766641822309048
2023-07-19,gas_vine,0.01,0.00015403940823413987
2023-07-20,gas_vine,0.01,5.487705955952024e-05
2023-07-21,gas_vine,0.01,0.00012375898725108578
2023-07-24,gas_vine,0.01,0.0001257799977962525
2023-07-25,gas_vine,0.01,0.00013930183492741495
2023-07-26,gas_vine,0.01,0.00016286249029222522
2023-07-27,gas_vine,0.01,1.4310915228190213e-05
2023-07-28,gas_vine,0.01,0.00020677265217226327
2023-07-31,gas_vine,0.01,0.00014572391784356244
2023-08-01,gas_vine,0.01,1.4397921005531636e-05
2023-08-02,gas_vine,0.01,1.5979081514594998e-05
2023-08-03,gas_vine,0.01,0.00010707472315030103
2023-08-04,gas_vine,0.01,0.00017230462957303265
2023-08-07,gas_vine,0.01,0.00014221830252196828
2023-08-08,gas_vine,0.01,9.965156850020518e-05
2023-08-09,gas_vine,0.01,0.00012925020319176362
2023-08-10,gas_vine,0.01,0.00011097302672985189
2023-08-11,gas_vine,0.01,5.561592207674322e-05
2023-08-14,gas_vine,0.01,9.195739813586073e-05
2023-08-15,gas_vine,0.01,5.552256265645375e-05
2023-08-16,gas_vine,0.01,6.6069254750863e-05
2023-08-17,gas_vine,0.01,9.193522021274603e-05
2023-08-18,gas_vine,0.01,0.00011569076992663533
2023-08-21,gas_vine,0.01,0.00010117180914541042
2023-08-22,gas_vine,0.01,0.00011183157616437395
2023-08-23,gas_vine,0.01,0.00023534186669299393
2023-08-24,gas_vine,0.01,7.467551699920656e-05
2023-08-25,gas_vine,0.01,0.0001287215116786578
2023-08-28,gas_vine,0.01,0.00018589843356828993
2023-08-29,gas_vine,0.01,0.00019810957507689748
2023-08-30,gas_vine,0.01,0.00011911021698733746
2023-08-31,gas_vine,0.01,9.378888914676636e-05
2023-09-01,gas_vine,0.01,0.0001240449436618524
2023-09-05,gas_vine,0.01,4.1164853721698594e-05
2023-09-06,gas_vine,0.01,9.268508694560693e-05
2023-09-07,gas_vine,0.01,0.00010180586498853667
2023-09-08,gas_vine,0.01,0.00011179254660338388
2023-09-11,gas_vine,0.01,0.0001648187874093978
2023-09-12,gas_vine,0.01,8.64297990984839e-05
2023-09-13,gas_vine,0.01,0.00010876163426201377
2023-09-14,gas_vine,0.01,0.00013624406861439627
2023-09-15,gas_vine,0.01,9.99912136504366e-05
2023-09-18,gas_vine,0.01,0.00010883644533136923
2023-09-19,gas_vine,0.01,6.953513251196722e-05
2023-09-20,gas_vine,0.01,9.209952144779929e-05
2023-09-21,gas_vine,0.01,0.0021977757471684147
2023-09-22,gas_vine,0.01,0.00017442286690112573
2023-09-25,gas_vine,0.01,5.365945703759633e-05
2023-09-26,gas_vine,0.01,3.485992678842098e-05
2023-09-27,gas_vine,0.01,7.894063694673338e-05
2023-09-28,gas_vine,0.01,0.0001361396056860005
2023-09-29,gas_vine,0.01,8.303672309712819e-05
2023-10-02,gas_vine,0.01,2.8724279331186763e-05
2023-10-03,gas_vine,0.01,3.2062192478213326e-05
2023-10-04,gas_vine,0.01,0.00014618625658473206
2023-10-05,gas_vine,0.01,0.00013650977664621817
2023-10-06,gas_vine,0.01,0.0001695963725014814
2023-10-09,gas_vine,0.01,0.00020230583568202465
2023-10-10,gas_vine,0.01,0.0001714672726926505
2023-10-11,gas_vine,0.01,0.000197933581068963
2023-10-12,gas_vine,0.01,3.638574424781608e-05
2023-10-13,gas_vine,0.01,0.00018210213291635247
2023-10-16,gas_vine,0.01,0.00012381782550696012
2023-10-17,gas_vine,0.01,0.00010552893492694757
2023-10-18,gas_vine,0.01,9.35698601752678e-05
2023-10-19,gas_vine,0.01,0.00010860391532677098
2023-10-20,gas_vine,0.01,0.00011379559759547688
2023-10-23,gas_vine,0.01,0.00014300184770608528
2023-10-24,gas_vine,0.01,0.00015861089445982243
2023-10-25,gas_vine,0.01,5.599844222222025e-05
2023-10-26,gas_vine,0.01,0.00013306827602220116
2023-10-27,gas_vine,0.01,0.00013281396709680367
2023-10-30,gas_vine,0.01,0.00014886948866652797
2023-10-31,gas_vine,0.01,0.00010149415318863775
2023-11-01,gas_vine,0.01,0.00019347234047757816
2023-11-02,gas_vine,0.01,0.00024411224688364184
2023-11-03,gas_vine,0.01,0.00022270437926354857
2023-11-06,gas_vine,0.01,0.00011630955534047737
2023-11-07,gas_vine,0.01,0.00012370477143224911
2023-11-08,gas_vine,0.01,0.00012017203930824053
2023-11-09,gas_vine,0.01,7.48096607781487e-05
2023-11-10,gas_vine,0.01,0.00014494139983646924
2023-11-13,gas_vine,0.01,0.00013166648141475272
2023-11-14,gas_vine,0.01,0.0002949375626467744
2023-11-15,gas_vine,0.01,0.00012244989581972177
2023-11-16,gas_vine,0.01,0.00016285604555142983
2023-11-17,gas_vine,0.01,0.00016980320121147416
2023-11-20,gas_vine,0.01,0.00017277134130424537
2023-11-21,gas_vine,0.01,0.0001341407837947379
2023-11-22,gas_vine,0.01,0.0001240946885076694
2023-11-24,gas_vine,0.01,0.0001327072411902741
2023-11-27,gas_vine,0.01,0.00015957094876489788
2023-11-28,gas_vine,0.01,0.00017254333676257303
2023-11-29,gas_vine,0.01,0.00012486822363218144
2023-11-30,gas_vine,0.01,8.735905467288917e-05
2023-12-01,gas_vine,0.01,0.0002191186425057767
2023-12-04,gas_vine,0.01,1.5878492906907167e-05
2023-12-05,gas_vine,0.01,0.00012307084056104636
2023-12-06,gas_vine,0.01,0.00013756377098321615
2023-12-07,gas_vine,0.01,0.00013011777424892866
2023-12-08,gas_vine,0.01,4.983657354982525e-05
2023-12-11,gas_vine,0.01,0.0001040910078815485
2023-12-12,gas_vine,0.01,0.00012447409235019527
2023-12-13,gas_vine,0.01,0.00025310772955895603
2023-12-14,gas_vine,0.01,0.00021631783453065847
2023-12-15,gas_vine,0.01,7.028713802844921e-05
2023-12-18,gas_vine,0.01,0.0001363790367945601
2023-12-19,gas_vine,0.01,0.0001838652492264711
2023-12-20,gas_vine,0.01,8.300195627381332e-05
2023-12-21,gas_vine,0.01,0.0002151898283956746
2023-12-22,gas_vine,0.01,0.00012259452726797292
2023-12-26,gas_vine,0.01,0.0001988276100423771
2023-12-27,gas_vine,0.01,0.0001964746051876777
2023-12-28,gas_vine,0.01,0.00012944535703488655
2023-12-29,gas_vine,0.01,0.0001016118401477291
2024-01-02,gas_vine,0.01,4.464124574869142e-05
2024-01-03,gas_vine,0.01,8.18232992833203e-05
2024-01-04,gas_vine,0.01,0.0001184311993661746
2024-01-05,gas_vine,0.01,0.00010710663088052793
2024-01-08,gas_vine,0.01,0.00013809041153904357
2024-01-09,gas_vine,0.01,7.143688846187949e-05
